# started 2026-09-01 00:19:58
# cached: b=0.50 N=10 (100 trials reused)
00:25:00 | b=0.10 | trial  70 | gates= 230 |   41.9s | overall 270/1000
00:25:01 | b=0.10 | trial  71 | gates= 248 |   42.4s | overall 271/1000
00:25:03 | b=0.10 | trial  72 | gates= 244 |   43.4s | overall 272/1000
00:25:04 | b=0.10 | trial  74 | gates= 222 |   43.0s | overall 273/1000
00:25:05 | b=0.10 | trial  73 | gates= 236 |   45.1s | overall 274/1000
00:25:08 | b=0.10 | trial  76 | gates= 228 |   44.8s | overall 275/1000
00:25:08 | b=0.10 | trial  79 | gates= 242 |   43.7s | overall 276/1000
00:25:09 | b=0.10 | trial  81 | gates= 220 |   43.1s | overall 277/1000
00:25:09 | b=0.10 | trial  75 | gates= 228 |   47.8s | overall 278/1000
00:25:10 | b=0.10 | trial  85 | gates= 232 |   42.5s | overall 279/1000
00:25:11 | b=0.10 | trial  77 | gates= 234 |   47.8s | overall 280/1000
00:25:11 | b=0.10 | trial  87 | gates= 218 |   42.9s | overall 281/1000
00:25:11 | b=0.10 | trial  78 | gates= 228 |   48.5s | overall 282/1000
00:25:12 | b=0.10 | trial  82 | gates= 240 |   44.9s | overall 283/1000
00:25:12 | b=0.10 | trial  83 | gates= 210 |   44.7s | overall 284/1000
00:25:13 | b=0.10 | trial  90 | gates= 220 |   42.4s | overall 285/1000
00:25:14 | b=0.10 | trial  89 | gates= 242 |   43.6s | overall 286/1000
00:25:14 | b=0.10 | trial  80 | gates= 216 |   48.5s | overall 287/1000
00:25:14 | b=0.10 | trial  84 | gates= 230 |   46.5s | overall 288/1000
00:25:16 | b=0.10 | trial  86 | gates= 224 |   47.9s | overall 289/1000
00:25:18 | b=0.10 | trial  94 | gates= 216 |   43.4s | overall 290/1000
00:25:18 | b=0.10 | trial  88 | gates= 232 |   49.1s | overall 291/1000
00:25:19 | b=0.10 | trial  91 | gates= 238 |   46.1s | overall 292/1000
00:25:20 | b=0.10 | trial  93 | gates= 228 |   45.9s | overall 293/1000
00:25:21 | b=0.10 | trial  95 | gates= 222 |   45.9s | overall 294/1000
00:25:22 | b=0.10 | trial  92 | gates= 226 |   49.1s | overall 295/1000
00:25:22 | b=0.10 | trial  96 | gates= 220 |   43.3s | overall 296/1000
00:25:41 | b=0.10 | trial  97 | gates= 230 |   43.3s | overall 297/1000
00:25:44 | b=0.10 | trial  98 | gates= 238 |   44.1s | overall 298/1000
