# started 2026-08-31 23:13:19
23:17:55 | b=0.80 | trial  65 | gates= 224 |   44.2s | overall 164/1000
23:17:56 | b=0.80 | trial  63 | gates= 226 |   49.2s | overall 165/1000
23:18:00 | b=0.80 | trial  66 | gates= 240 |   48.5s | overall 166/1000
23:18:01 | b=0.80 | trial  67 | gates= 216 |   49.1s | overall 167/1000
23:18:03 | b=0.80 | trial  68 | gates= 224 |   49.7s | overall 168/1000
23:18:15 | b=0.80 | trial  69 | gates= 222 |   43.1s | overall 169/1000
23:18:21 | b=0.80 | trial  72 | gates= 224 |   43.5s | overall 170/1000
23:18:21 | b=0.80 | trial  70 | gates= 220 |   44.4s | overall 171/1000
23:18:22 | b=0.80 | trial  71 | gates= 214 |   45.2s | overall 172/1000
23:18:22 | b=0.80 | trial  75 | gates= 222 |   43.3s | overall 173/1000
23:18:23 | b=0.80 | trial  73 | gates= 224 |   44.5s | overall 174/1000
23:18:23 | b=0.80 | trial  74 | gates= 228 |   44.3s | overall 175/1000
23:18:23 | b=0.80 | trial  76 | gates= 226 |   42.1s | overall 176/1000
23:18:23 | b=0.80 | trial  77 | gates= 224 |   42.6s | overall 177/1000
23:18:26 | b=0.80 | trial  83 | gates= 218 |   42.0s | overall 178/1000
23:18:27 | b=0.80 | trial  78 | gates= 226 |   45.1s | overall 179/1000
23:18:28 | b=0.80 | trial  79 | gates= 224 |   45.5s | overall 180/1000
23:18:29 | b=0.80 | trial  85 | gates= 216 |   43.9s | overall 181/1000
23:18:29 | b=0.80 | trial  81 | gates= 218 |   45.9s | overall 182/1000
23:18:30 | b=0.80 | trial  86 | gates= 216 |   44.2s | overall 183/1000
23:18:31 | b=0.80 | trial  87 | gates= 220 |   44.0s | overall 184/1000
23:18:31 | b=0.80 | trial  84 | gates= 224 |   46.6s | overall 185/1000
23:18:31 | b=0.80 | trial  80 | gates= 216 |   48.4s | overall 186/1000
23:18:31 | b=0.80 | trial  88 | gates= 222 |   42.4s | overall 187/1000
23:18:33 | b=0.80 | trial  82 | gates= 218 |   49.3s | overall 188/1000
23:18:35 | b=0.80 | trial  90 | gates= 222 |   43.9s | overall 189/1000
23:18:36 | b=0.80 | trial  89 | gates= 226 |   45.7s | overall 190/1000
23:18:40 | b=0.80 | trial  93 | gates= 220 |   44.2s | overall 191/1000
23:18:43 | b=0.80 | trial  91 | gates= 222 |   48.1s | overall 192/1000
23:18:43 | b=0.80 | trial  92 | gates= 228 |   47.4s | overall 193/1000
23:18:48 | b=0.80 | trial  94 | gates= 230 |   48.9s | overall 194/1000
23:18:49 | b=0.80 | trial  95 | gates= 224 |   48.3s | overall 195/1000
23:18:53 | b=0.80 | trial  96 | gates= 224 |   49.5s | overall 196/1000
23:18:57 | b=0.80 | trial  97 | gates= 218 |   42.8s | overall 197/1000
23:19:03 | b=0.80 | trial  98 | gates= 218 |   42.6s | overall 198/1000
23:19:06 | b=1.00 | trial   1 | gates= 226 |   43.6s | overall 199/1000
23:19:06 | b=1.00 | trial   4 | gates= 228 |   43.4s | overall 200/1000
23:19:07 | b=0.80 | trial  99 | gates= 216 |   45.6s | overall 201/1000
23:19:07 | b=1.00 | trial   5 | gates= 228 |   43.4s | overall 202/1000
23:19:08 | b=1.00 | trial   3 | gates= 228 |   44.7s | overall 203/1000
23:19:08 | b=1.00 | trial   7 | gates= 226 |   41.1s | overall 204/1000
23:19:08 | b=1.00 | trial   2 | gates= 226 |   45.7s | overall 205/1000
23:19:09 | b=1.00 | trial   6 | gates= 222 |   42.8s | overall 206/1000
23:19:11 | b=1.00 | trial   8 | gates= 228 |   42.8s | overall 207/1000
23:19:11 | b=0.80 | trial 100 | gates= 230 |   48.7s | overall 208/1000
23:19:15 | b=1.00 | trial  10 | gates= 226 |   45.3s | overall 209/1000
23:19:15 | b=1.00 | trial  11 | gates= 224 |   44.9s | overall 210/1000
23:19:15 | b=1.00 | trial  15 | gates= 220 |   43.9s | overall 211/1000
23:19:16 | b=1.00 | trial   9 | gates= 222 |   46.8s | overall 212/1000
23:19:17 | b=1.00 | trial  13 | gates= 218 |   46.2s | overall 213/1000
23:19:18 | b=1.00 | trial  18 | gates= 224 |   41.1s | overall 214/1000
