# started 2026-09-01 10:36:33
# cached: b=0.45, a:2.0->0.0 (p=1.0) (100 trials reused)
# cached: b=0.30, a:2.0->0.0 (p=1.0) (100 trials reused)
10:39:38 | b=0.45, a:1.0->0.0 (p=1.0) | trial   5 | gates= 218 |   47.5s | overall 309/1000
10:39:42 | b=0.45, a:1.0->0.0 (p=1.0) | trial  11 | gates= 222 |   44.8s | overall 310/1000
10:39:44 | b=0.45, a:1.0->0.0 (p=1.0) | trial  12 | gates= 226 |   46.1s | overall 311/1000
10:39:44 | b=0.45, a:1.0->0.0 (p=1.0) | trial  10 | gates= 210 |   47.2s | overall 312/1000
10:40:03 | b=0.45, a:1.0->0.0 (p=1.0) | trial  13 | gates= 210 |   43.7s | overall 313/1000
10:40:04 | b=0.45, a:1.0->0.0 (p=1.0) | trial  15 | gates= 214 |   40.6s | overall 314/1000
10:40:07 | b=0.45, a:1.0->0.0 (p=1.0) | trial  14 | gates= 230 |   44.0s | overall 315/1000
10:40:08 | b=0.45, a:1.0->0.0 (p=1.0) | trial  16 | gates= 220 |   45.0s | overall 316/1000
10:40:09 | b=0.45, a:1.0->0.0 (p=1.0) | trial  17 | gates= 216 |   43.6s | overall 317/1000
10:40:10 | b=0.45, a:1.0->0.0 (p=1.0) | trial  24 | gates= 218 |   41.5s | overall 318/1000
10:40:10 | b=0.45, a:1.0->0.0 (p=1.0) | trial  23 | gates= 232 |   42.6s | overall 319/1000
10:40:10 | b=0.45, a:1.0->0.0 (p=1.0) | trial  18 | gates= 222 |   44.7s | overall 320/1000
10:40:10 | b=0.45, a:1.0->0.0 (p=1.0) | trial  19 | gates= 210 |   44.0s | overall 321/1000
10:40:10 | b=0.45, a:1.0->0.0 (p=1.0) | trial  22 | gates= 216 |   43.2s | overall 322/1000
10:40:12 | b=0.45, a:1.0->0.0 (p=1.0) | trial  25 | gates= 216 |   43.8s | overall 323/1000
10:40:12 | b=0.45, a:1.0->0.0 (p=1.0) | trial  26 | gates= 226 |   44.0s | overall 324/1000
10:40:13 | b=0.45, a:1.0->0.0 (p=1.0) | trial  28 | gates= 228 |   43.8s | overall 325/1000
10:40:14 | b=0.45, a:1.0->0.0 (p=1.0) | trial  30 | gates= 226 |   42.1s | overall 326/1000
10:40:15 | b=0.45, a:1.0->0.0 (p=1.0) | trial  21 | gates= 214 |   48.4s | overall 327/1000
10:40:15 | b=0.45, a:1.0->0.0 (p=1.0) | trial  20 | gates= 216 |   48.5s | overall 328/1000
10:40:16 | b=0.45, a:1.0->0.0 (p=1.0) | trial  31 | gates= 226 |   41.4s | overall 329/1000
10:40:17 | b=0.45, a:1.0->0.0 (p=1.0) | trial  34 | gates= 224 |   42.8s | overall 330/1000
10:40:18 | b=0.45, a:1.0->0.0 (p=1.0) | trial  27 | gates= 210 |   48.8s | overall 331/1000
10:40:18 | b=0.45, a:1.0->0.0 (p=1.0) | trial  33 | gates= 214 |   43.4s | overall 332/1000
10:40:19 | b=0.45, a:1.0->0.0 (p=1.0) | trial  32 | gates= 216 |   44.5s | overall 333/1000
10:40:19 | b=0.45, a:1.0->0.0 (p=1.0) | trial  29 | gates= 222 |   48.7s | overall 334/1000
10:40:24 | b=0.45, a:1.0->0.0 (p=1.0) | trial  35 | gates= 212 |   49.1s | overall 335/1000
10:40:24 | b=0.45, a:1.0->0.0 (p=1.0) | trial  38 | gates= 222 |   42.8s | overall 336/1000
10:40:27 | b=0.45, a:1.0->0.0 (p=1.0) | trial  36 | gates= 226 |   49.4s | overall 337/1000
10:40:28 | b=0.45, a:1.0->0.0 (p=1.0) | trial  37 | gates= 212 |   49.1s | overall 338/1000
10:40:29 | b=0.45, a:1.0->0.0 (p=1.0) | trial  40 | gates= 222 |   44.9s | overall 339/1000
10:40:33 | b=0.45, a:1.0->0.0 (p=1.0) | trial  39 | gates= 224 |   49.2s | overall 340/1000
10:40:48 | b=0.45, a:1.0->0.0 (p=1.0) | trial  41 | gates= 214 |   44.4s | overall 341/1000
10:40:48 | b=0.45, a:1.0->0.0 (p=1.0) | trial  42 | gates= 214 |   44.1s | overall 342/1000
10:40:50 | b=0.45, a:1.0->0.0 (p=1.0) | trial  44 | gates= 234 |   41.6s | overall 343/1000
10:40:50 | b=0.45, a:1.0->0.0 (p=1.0) | trial  49 | gates= 216 |   40.5s | overall 344/1000
10:40:50 | b=0.45, a:1.0->0.0 (p=1.0) | trial  46 | gates= 220 |   40.9s | overall 345/1000
10:40:52 | b=0.45, a:1.0->0.0 (p=1.0) | trial  43 | gates= 216 |   45.2s | overall 346/1000
10:40:53 | b=0.45, a:1.0->0.0 (p=1.0) | trial  50 | gates= 220 |   43.1s | overall 347/1000
10:40:55 | b=0.45, a:1.0->0.0 (p=1.0) | trial  47 | gates= 214 |   45.1s | overall 348/1000
10:40:55 | b=0.45, a:1.0->0.0 (p=1.0) | trial  45 | gates= 216 |   46.2s | overall 349/1000
