# started 2026-08-30 22:00:05
22:21:29 | d=0.015 N=20 | trial  77 | gates= 182 |  168.8s | overall 173/1000
22:21:40 | d=0.015 N=20 | trial  75 | gates= 182 |  182.9s | overall 174/1000
22:21:42 | d=0.015 N=20 | trial  76 | gates= 188 |  183.9s | overall 175/1000
22:21:47 | d=0.015 N=20 | trial  73 | gates= 188 |  196.8s | overall 176/1000
22:21:49 | d=0.015 N=20 | trial  74 | gates= 180 |  196.8s | overall 177/1000
22:21:55 | d=0.015 N=20 | trial  79 | gates= 182 |  185.3s | overall 178/1000
22:21:57 | d=0.015 N=20 | trial  78 | gates= 188 |  189.6s | overall 179/1000
22:22:01 | d=0.015 N=20 | trial  87 | gates= 192 |  168.0s | overall 180/1000
22:22:07 | d=0.015 N=20 | trial  88 | gates= 186 |  167.6s | overall 181/1000
22:22:10 | d=0.015 N=20 | trial  82 | gates= 186 |  186.9s | overall 182/1000
22:22:13 | d=0.015 N=20 | trial  81 | gates= 188 |  193.9s | overall 183/1000
22:22:15 | d=0.015 N=20 | trial  85 | gates= 182 |  186.5s | overall 184/1000
22:22:16 | d=0.015 N=20 | trial  80 | gates= 188 |  200.2s | overall 185/1000
22:22:18 | d=0.015 N=20 | trial  84 | gates= 180 |  194.0s | overall 186/1000
22:22:21 | d=0.015 N=20 | trial  83 | gates= 178 |  196.8s | overall 187/1000
22:22:23 | d=0.015 N=20 | trial  86 | gates= 184 |  191.6s | overall 188/1000
22:22:32 | d=0.015 N=20 | trial  89 | gates= 188 |  192.2s | overall 189/1000
22:22:34 | d=0.015 N=20 | trial  90 | gates= 184 |  184.7s | overall 190/1000
22:22:46 | d=0.015 N=20 | trial  91 | gates= 186 |  194.2s | overall 191/1000
22:22:51 | d=0.015 N=20 | trial  93 | gates= 182 |  192.1s | overall 192/1000
22:23:00 | d=0.015 N=20 | trial  95 | gates= 180 |  195.2s | overall 193/1000
22:23:02 | d=0.015 N=20 | trial  92 | gates= 184 |  209.2s | overall 194/1000
22:23:07 | d=0.015 N=20 | trial  96 | gates= 190 |  199.5s | overall 195/1000
22:23:09 | d=0.015 N=20 | trial  94 | gates= 180 |  204.2s | overall 196/1000
22:23:26 | d=0.015 N=20 | trial  97 | gates= 188 |  169.6s | overall 197/1000
22:23:31 | d=0.015 N=20 | trial  98 | gates= 180 |  167.8s | overall 198/1000
22:24:12 | d=0.015 N=20 | trial  99 | gates= 188 |  183.4s | overall 199/1000
22:24:20 | d=0.015 N=20 | trial 100 | gates= 180 |  175.1s | overall 200/1000
22:24:29 | d=0.020 N=20 | trial   3 | gates= 188 |  166.7s | overall 201/1000
22:24:30 | d=0.020 N=20 | trial   1 | gates= 188 |  180.3s | overall 202/1000
22:24:41 | d=0.020 N=20 | trial   2 | gates= 182 |  181.1s | overall 203/1000
22:24:54 | d=0.020 N=20 | trial   9 | gates= 178 |  166.5s | overall 204/1000
22:24:57 | d=0.020 N=20 | trial   7 | gates= 192 |  180.5s | overall 205/1000
22:24:58 | d=0.020 N=20 | trial  10 | gates= 186 |  167.9s | overall 206/1000
22:25:05 | d=0.020 N=20 | trial   8 | gates= 184 |  183.3s | overall 207/1000
22:25:07 | d=0.020 N=20 | trial   4 | gates= 182 |  200.3s | overall 208/1000
22:25:11 | d=0.020 N=20 | trial   5 | gates= 186 |  202.0s | overall 209/1000
22:25:17 | d=0.020 N=20 | trial   6 | gates= 190 |  201.3s | overall 210/1000
22:25:17 | d=0.020 N=20 | trial  12 | gates= 186 |  181.4s | overall 211/1000
22:25:25 | d=0.020 N=20 | trial  13 | gates= 188 |  189.7s | overall 212/1000
22:25:32 | d=0.020 N=20 | trial  14 | gates= 176 |  193.3s | overall 213/1000
22:25:33 | d=0.020 N=20 | trial  16 | gates= 184 |  189.7s | overall 214/1000
22:25:33 | d=0.020 N=20 | trial  15 | gates= 184 |  192.5s | overall 215/1000
22:25:38 | d=0.020 N=20 | trial  11 | gates= 186 |  204.5s | overall 216/1000
22:25:40 | d=0.020 N=20 | trial  18 | gates= 190 |  185.8s | overall 217/1000
22:25:49 | d=0.020 N=20 | trial  17 | gates= 180 |  196.1s | overall 218/1000
22:26:00 | d=0.020 N=20 | trial  19 | gates= 182 |  194.6s | overall 219/1000
22:26:03 | d=0.020 N=20 | trial  20 | gates= 184 |  192.6s | overall 220/1000
22:26:13 | d=0.020 N=20 | trial  23 | gates= 188 |  186.2s | overall 221/1000
22:26:15 | d=0.020 N=20 | trial  25 | gates= 178 |  168.7s | overall 222/1000
22:26:16 | d=0.020 N=20 | trial  21 | gates= 188 |  196.2s | overall 223/1000
22:26:21 | d=0.020 N=20 | trial  22 | gates= 184 |  198.4s | overall 224/1000
22:26:26 | d=0.020 N=20 | trial  24 | gates= 178 |  197.5s | overall 225/1000
22:26:36 | d=0.020 N=20 | trial  26 | gates= 190 |  185.2s | overall 226/1000
22:27:10 | d=0.020 N=20 | trial  28 | gates= 190 |  169.7s | overall 227/1000
22:27:19 | d=0.020 N=20 | trial  27 | gates= 186 |  187.9s | overall 228/1000
22:27:43 | d=0.020 N=20 | trial  33 | gates= 184 |  166.3s | overall 229/1000
22:27:44 | d=0.020 N=20 | trial  29 | gates= 188 |  194.9s | overall 230/1000
22:27:44 | d=0.020 N=20 | trial  34 | gates= 180 |  166.4s | overall 231/1000
22:27:52 | d=0.020 N=20 | trial  32 | gates= 188 |  178.8s | overall 232/1000
22:27:55 | d=0.020 N=20 | trial  30 | gates= 182 |  205.8s | overall 233/1000
22:27:58 | d=0.020 N=20 | trial  31 | gates= 186 |  196.9s | overall 234/1000
22:28:17 | d=0.020 N=20 | trial  37 | gates= 180 |  186.0s | overall 235/1000
22:28:19 | d=0.020 N=20 | trial  39 | gates= 186 |  182.6s | overall 236/1000
22:28:21 | d=0.020 N=20 | trial  43 | gates= 182 |  167.2s | overall 237/1000
22:28:21 | d=0.020 N=20 | trial  36 | gates= 182 |  193.3s | overall 238/1000
22:28:22 | d=0.020 N=20 | trial  35 | gates= 180 |  197.6s | overall 239/1000
22:28:24 | d=0.020 N=20 | trial  41 | gates= 186 |  172.2s | overall 240/1000
22:28:24 | d=0.020 N=20 | trial  42 | gates= 186 |  171.4s | overall 241/1000
22:28:34 | d=0.020 N=20 | trial  38 | gates= 184 |  197.6s | overall 242/1000
22:28:49 | d=0.020 N=20 | trial  40 | gates= 178 |  203.7s | overall 243/1000
22:28:50 | d=0.020 N=20 | trial  44 | gates= 192 |  192.5s | overall 244/1000
22:28:54 | d=0.020 N=20 | trial  45 | gates= 180 |  193.6s | overall 245/1000
22:29:02 | d=0.020 N=20 | trial  47 | gates= 192 |  181.4s | overall 246/1000
22:29:02 | d=0.020 N=20 | trial  46 | gates= 180 |  193.9s | overall 247/1000
22:29:04 | d=0.020 N=20 | trial  50 | gates= 188 |  169.1s | overall 248/1000
22:29:05 | d=0.020 N=20 | trial  51 | gates= 182 |  168.5s | overall 249/1000
22:29:19 | d=0.020 N=20 | trial  49 | gates= 184 |  185.3s | overall 250/1000
22:29:25 | d=0.020 N=20 | trial  48 | gates= 192 |  202.2s | overall 251/1000
22:29:39 | d=0.020 N=20 | trial  52 | gates= 182 |  198.2s | overall 252/1000
22:29:42 | d=0.020 N=20 | trial  53 | gates= 186 |  195.7s | overall 253/1000
22:29:53 | d=0.020 N=20 | trial  54 | gates= 184 |  197.1s | overall 254/1000
22:30:06 | d=0.020 N=20 | trial  56 | gates= 186 |  166.2s | overall 255/1000
22:30:27 | d=0.020 N=20 | trial  55 | gates= 184 |  196.9s | overall 256/1000
22:30:44 | d=0.020 N=20 | trial  57 | gates= 194 |  181.0s | overall 257/1000
22:30:57 | d=0.020 N=20 | trial  58 | gates= 180 |  193.1s | overall 258/1000
22:30:59 | d=0.020 N=20 | trial  59 | gates= 182 |  194.6s | overall 259/1000
22:31:04 | d=0.020 N=20 | trial  60 | gates= 182 |  192.0s | overall 260/1000
22:31:08 | d=0.020 N=20 | trial  65 | gates= 188 |  167.1s | overall 261/1000
22:31:11 | d=0.020 N=20 | trial  61 | gates= 184 |  195.9s | overall 262/1000
22:31:17 | d=0.020 N=20 | trial  62 | gates= 182 |  198.8s | overall 263/1000
22:31:17 | d=0.020 N=20 | trial  67 | gates= 182 |  175.2s | overall 264/1000
22:31:22 | d=0.020 N=20 | trial  66 | gates= 184 |  181.0s | overall 265/1000
22:31:29 | d=0.020 N=20 | trial  64 | gates= 182 |  189.7s | overall 266/1000
22:31:30 | d=0.020 N=20 | trial  68 | gates= 188 |  186.1s | overall 267/1000
22:31:34 | d=0.020 N=20 | trial  63 | gates= 182 |  196.8s | overall 268/1000
22:31:36 | d=0.020 N=20 | trial  69 | gates= 186 |  191.9s | overall 269/1000
22:31:36 | d=0.020 N=20 | trial  71 | gates= 182 |  167.0s | overall 270/1000
22:31:36 | d=0.020 N=20 | trial  72 | gates= 184 |  166.2s | overall 271/1000
22:31:39 | d=0.020 N=20 | trial  70 | gates= 184 |  184.6s | overall 272/1000
22:31:54 | d=0.020 N=20 | trial  76 | gates= 186 |  170.5s | overall 273/1000
22:31:55 | d=0.020 N=20 | trial  75 | gates= 182 |  173.0s | overall 274/1000
22:32:08 | d=0.020 N=20 | trial  77 | gates= 190 |  183.4s | overall 275/1000
22:32:10 | d=0.020 N=20 | trial  73 | gates= 186 |  196.6s | overall 276/1000
22:32:15 | d=0.020 N=20 | trial  74 | gates= 184 |  192.7s | overall 277/1000
22:32:35 | d=0.020 N=20 | trial  78 | gates= 182 |  195.9s | overall 278/1000
22:32:39 | d=0.020 N=20 | trial  79 | gates= 184 |  193.9s | overall 279/1000
22:32:51 | d=0.020 N=20 | trial  80 | gates= 182 |  192.3s | overall 280/1000
22:33:02 | d=0.020 N=20 | trial  82 | gates= 180 |  188.3s | overall 281/1000
22:33:07 | d=0.020 N=20 | trial  81 | gates= 186 |  204.5s | overall 282/1000
22:33:17 | d=0.020 N=20 | trial  83 | gates= 184 |  190.8s | overall 283/1000
22:33:21 | d=0.005 N=10 | trial   2 | gates= 186 |   85.9s | overall 284/1000
22:33:36 | d=0.005 N=10 | trial   1 | gates= 184 |  102.1s | overall 285/1000
22:33:38 | d=0.020 N=20 | trial  84 | gates= 190 |  190.9s | overall 286/1000
22:33:45 | d=0.005 N=10 | trial   3 | gates= 184 |   96.3s | overall 287/1000
22:33:52 | d=0.005 N=10 | trial   4 | gates= 188 |  101.5s | overall 288/1000
22:33:55 | d=0.005 N=10 | trial   5 | gates= 188 |  100.7s | overall 289/1000
22:33:57 | d=0.020 N=20 | trial  85 | gates= 188 |  192.7s | overall 290/1000
22:34:03 | d=0.020 N=20 | trial  92 | gates= 190 |  165.9s | overall 291/1000
22:34:04 | d=0.020 N=20 | trial  86 | gates= 184 |  187.2s | overall 292/1000
22:34:09 | d=0.020 N=20 | trial  93 | gates= 188 |  167.3s | overall 293/1000
22:34:11 | d=0.005 N=10 | trial   6 | gates= 190 |   96.1s | overall 294/1000
22:34:15 | d=0.020 N=20 | trial  87 | gates= 188 |  196.1s | overall 295/1000
22:34:17 | d=0.020 N=20 | trial  89 | gates= 182 |  189.7s | overall 296/1000
22:34:20 | d=0.005 N=10 | trial   7 | gates= 182 |  100.4s | overall 297/1000
22:34:20 | d=0.020 N=20 | trial  96 | gates= 188 |  166.3s | overall 298/1000
22:34:22 | d=0.020 N=20 | trial  88 | gates= 184 |  197.7s | overall 299/1000
22:34:22 | d=0.020 N=20 | trial  97 | gates= 184 |  166.3s | overall 300/1000
22:34:24 | d=0.020 N=20 | trial  90 | gates= 184 |  193.0s | overall 301/1000
22:34:25 | d=0.020 N=20 | trial  99 | gates= 180 |  168.6s | overall 302/1000
22:34:28 | d=0.005 N=10 | trial   8 | gates= 192 |   97.1s | overall 303/1000
22:34:32 | d=0.020 N=20 | trial 100 | gates= 184 |  173.5s | overall 304/1000
22:34:35 | d=0.020 N=20 | trial  91 | gates= 186 |  198.1s | overall 305/1000
22:34:35 | d=0.005 N=10 | trial   9 | gates= 190 |   93.6s | overall 306/1000
22:34:46 | d=0.020 N=20 | trial  95 | gates= 186 |  196.5s | overall 307/1000
22:34:47 | d=0.020 N=20 | trial  94 | gates= 186 |  197.8s | overall 308/1000
22:34:47 | d=0.005 N=10 | trial  12 | gates= 188 |   85.9s | overall 309/1000
22:34:50 | d=0.005 N=10 | trial  10 | gates= 184 |  103.7s | overall 310/1000
